qid,question,DAS
Q1,I found myself getting upset by quite trivial things.,S
Q2,I was aware of dryness of my mouth.,A
Q3,I couldn't seem to experience any positive feeling at all.,D
Q4,"I experienced breathing difficulty (eg, excessively rapid breathing, breathlessness in the absence of physical exertion).",A
Q5,I just couldn't seem to get going.,D
Q6,I tended to over-react to situations.,S
Q7,"I had a feeling of shakiness (eg, legs going to give way).",A
Q8,I found it difficult to relax.,S
Q9,I found myself in situations that made me so anxious I was most relieved when they ended.,A
Q10,I felt that I had nothing to look forward to.,D
Q11,I found myself getting upset rather easily.,S
Q12,I felt that I was using a lot of nervous energy.,S
Q13,I felt sad and depressed.,D
Q14,"I found myself getting impatient when I was delayed in any way (eg, elevators, traffic lights, being kept waiting).",S
Q15,I had a feeling of faintness.,A
Q16,I felt that I had lost interest in just about everything.,D
Q17,I felt I wasn't worth much as a person.,D
Q18,I felt that I was rather touchy.,S
Q19,"I perspired noticeably (eg, hands sweaty) in the absence of high temperatures or physical exertion.",A
Q20,I felt scared without any good reason.,A
Q21,I felt that life wasn't worthwhile.,D
Q22,I found it hard to wind down.,S
Q23,I had difficulty in swallowing.,A
Q24,I couldn't seem to get any enjoyment out of the things I did.,D
Q25,"I was aware of the action of my heart in the absence of physical exertion (eg, sense of heart rate increase, heart missing a beat).",A
Q26,I felt down-hearted and blue.,D
Q27,I found that I was very irritable.,S
Q28,I felt I was close to panic.,A
Q29,I found it hard to calm down after something upset me.,S
Q30,I feared that I would be "thrown" by some trivial but unfamiliar task.,A
Q31,I was unable to become enthusiastic about anything.,D
Q32,I found it difficult to tolerate interruptions to what I was doing.,S
Q33,I was in a state of nervous tension.,S
Q34,I felt I was pretty worthless.,D
Q35,I was intolerant of anything that kept me from getting on with what I was doing.,S
Q36,I felt terrified.,A
Q37,I could see nothing in the future to be hopeful about.,D
Q38,I felt that life was meaningless.,D
Q39,I found myself getting agitated.,S
Q40,I was worried about situations in which I might panic and make a fool of myself.,A
Q41,"I experienced trembling (eg, in the hands).",A
Q42,I found it difficult to work up the initiative to do things.,D
